! Channel Selection & Surface emissivity  & error
  300
  199 199 0 -1.0  7.27
  200 200 0 -1.0  7.01
  201 201 0 -1.0  6.35
  202 202 0 -1.0  6.56
  203 203 0 -1.0  7.17
  204 204 0 -1.0  6.39
  205 205 0 -1.0  5.35
  206 206 0 -1.0  5.97
  207 207 0 -1.0  7.19
  208 208 0 -1.0  7.27
  209 209 0 -1.0  7.24
  210 210 0 -1.0  7.27
  211 211 0 -1.0  7.26
  212 212 0 -1.0  7.33
  213 213 0 -1.0  7.28
  214 214 0 -1.0  7.31
  215 215 0 -1.0  7.30
  216 216 0 -1.0  7.34
  217 217 0 -1.0  6.99
  218 218 0 -1.0  6.86
  219 219 0 -1.0  7.08
  220 220 0 -1.0  7.33
  221 221 0 -1.0  7.25
  222 222 0 -1.0  7.27
  223 223 0 -1.0  7.27
  224 224 0 -1.0  6.25
  225 225 1 -1.0  5.62
  226 226 0 -1.0  6.27
  227 227 0 -1.0  6.92
  228 228 0 -1.0  6.79
  229 229 0 -1.0  6.96
  230 230 0 -1.0  7.31
  231 231 0 -1.0  7.26
  232 232 0 -1.0  7.30
  233 233 0 -1.0  7.24
  234 234 0 -1.0  7.25
  235 235 0 -1.0  7.20
  236 236 0 -1.0  7.30
  237 237 0 -1.0  7.25
  238 238 0 -1.0  7.28
  239 239 0 -1.0  6.88
  240 240 0 -1.0  5.65
  241 241 0 -1.0  5.91
  242 242 0 -1.0  7.12
  243 243 0 -1.0  7.05
  244 244 0 -1.0  5.73
  245 245 1 -1.0  4.39
  246 246 0 -1.0  4.75
  247 247 0 -1.0  5.81
  248 248 0 -1.0  5.28
  249 249 0 -1.0  5.73
  250 250 0 -1.0  7.12
  251 251 0 -1.0  7.21
  252 252 0 -1.0  7.23
  253 253 0 -1.0  7.30
  254 254 0 -1.0  7.02
  255 255 0 -1.0  7.01
  256 256 0 -1.0  7.04
  257 257 0 -1.0  7.13
  258 258 0 -1.0  7.23
  259 259 0 -1.0  7.25
  260 260 0 -1.0  7.20
  261 261 0 -1.0  7.23
  262 262 0 -1.0  7.20
  263 263 0 -1.0  7.24
  264 264 0 -1.0  6.93
  265 265 0 -1.0  5.94
  266 266 0 -1.0  6.01
  267 267 0 -1.0  6.94
  268 268 0 -1.0  7.15
  269 269 0 -1.0  7.16
  270 270 0 -1.0  7.17
  271 271 0 -1.0  7.14
  272 272 0 -1.0  7.17
  273 273 0 -1.0  7.18
